contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
3600_4732_36C10X23F0092_P00001_47QTCA23D005Y_0,FEDERAL ACQUISITION SERVICE,2665376.2,2023-09-28,2025-09-27 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,NATIONAL CONSULTING PARTNERS LLC,VIRGINIA,VIRGINIA,DELIVERY ORDER,VA TELECRITICAL CARE ADVANCED ANALYTICS & MACHINE LEARNING PROJECT,VA TELECRITICAL CARE ADVANCED ANALYTICS & MACHINE LEARNING PROJECT,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,3.0,Y,NOT APPLICABLE,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,PARTNERSHIP
3600_4732_36C10X23F0092_0_47QTCA23D005Y_0,FEDERAL ACQUISITION SERVICE,2665376.2,2023-09-28,2025-09-27 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,NATIONAL CONSULTING PARTNERS LLC,VIRGINIA,VIRGINIA,DELIVERY ORDER,VA TELECRITICAL CARE ADVANCED ANALYTICS & MACHINE LEARNING PROJECT,VA TELECRITICAL CARE ADVANCED ANALYTICS & MACHINE LEARNING PROJECT,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,3.0,Y,NOT APPLICABLE,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,PARTNERSHIP
3600_8000_36C10B23F0200_P00001_NNG15SD34B_0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,496279.8,2023-07-21,2026-07-21 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,31.0: Equipment,"MINBURN TECHNOLOGY GROUP, LLC",VIRGINIA,VIRGINIA,DELIVERY ORDER,GPU DIVE LEARNING MACHINES,GPU DIVE LEARNING MACHINES,IT AND TELECOM - STORAGE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,ENERGY EFFICIENT,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,3.0,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_-NONE-_36C10X22C0043_P00001_-NONE-_0,,10545500.0,2022-09-19,2023-09-18 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,"VETERANS HEALTHCARE SUPPLY SOLUTIONS, INC",FLORIDA,FLORIDA,DEFINITIVE CONTRACT,ARTIFICIAL INTELLIGENCE MACHINES TO ASSIST IN THE DETECTION OF CANCER IN COLONOSCOPY PROCEDURES.,ARTIFICIAL INTELLIGENCE MACHINES TO ASSIST IN THE DETECTION OF CANCER IN COLONOSCOPY PROCEDURES.,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO PREFERENCE USED,,,2.0,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_8000_36C10B23F0200_0_NNG15SD34B_0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,496279.8,2023-07-21,2026-07-21 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,31.0: Equipment,"MINBURN TECHNOLOGY GROUP, LLC",VIRGINIA,VIRGINIA,DELIVERY ORDER,GPU DIVE LEARNING MACHINES,GPU DIVE LEARNING MACHINES,IT AND TELECOM - STORAGE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,ENERGY EFFICIENT,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,3.0,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_8000_36C10B20F0417_P00008_NNG15SC91B_0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,36387528.4,2020-09-24,2025-09-23 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,"23.3: Communications, utilities, and miscellaneous charges;25.1: Advisory and assistance services",SWISH DATA CORPORATION,VIRGINIA,VIRGINIA,DELIVERY ORDER,"SCIENCE LOGIC ARTIFICIAL INTELLIGENCE OPERATIONS (AIOPS) SOLUTION, EXERCISE OP3 AND OPTIONAL ITEMS",SCIENCE LOGIC ARTIFICIAL INTELLIGENCE OPERATIONS (AIOPS) SOLUTION,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,3.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,"PRESIDENTIAL ISSUED EMERGENCY DECLARATION, OR A MAJOR DISASTER DECLARATION",f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_-NONE-_36C24E23P0086_0_-NONE-_0,,17620.0,2023-04-28,2023-09-30 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,VIVADOX INC.,NEW JERSEY,NEW JERSEY,PURCHASE ORDER,PREDICTIVE DIAGNOSIS OF RHEUMATOID ARTHRITIS FLARES USING  NON-INVASIVE INFRA-RED THERMAL IMAGING AND AN ARTIFICIAL INTELLIGENT/MACHINE LEARNING ALGORITHM(BRAVE) SERVICES,PREDICTIVE DIAGNOSIS OF RHEUMATOID ARTHRITIS FLARES USING  NON-INVASIVE INFRA-RED THERMAL IMAGING AND AN ARTIFICIAL INTELLIGENT/MACHINE LEARNING ALGORITHM(BRAVE) SERVICES,COMMUNITY AND REGIONAL DEVELOPMENT R&D SERVICES; COMMUNITY DEVELOPMENT; BASIC RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT COMPETED,ONLY ONE SOURCE,NO PREFERENCE USED,,ONLY ONE SOURCE-OTHER (FAR 6.302-1 OTHER),1.0,N,NO,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,t,f,f,f,CORPORATE NOT TAX EXEMPT
3600_3600_36C24E23N0017_P00001_36C24E23D0006_0,"VETERANS AFFAIRS, DEPARTMENT OF",410000.0,2022-12-12,2023-12-11 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,GEORGE WASHINGTON UNIVERSITY (THE),DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DELIVERY ORDER,ARTIFICIAL INTELLIGENCE SUPPORT,ARTIFICIAL INTELLIGENCE SUPPORT,MEDICAL- LABORATORY TESTING,TESTING LABORATORIES AND SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),,Y,NOT APPLICABLE,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE TAX EXEMPT
3600_-NONE-_36C24E23D0006_P00001_-NONE-_-NONE-,,,2022-12-12,,Department of Veterans Affairs,Department of Veterans Affairs,,GEORGE WASHINGTON UNIVERSITY (THE),DISTRICT OF COLUMBIA,,,ARTIFICIAL INTELLIGENCE SUPPORT,ARTIFICIAL INTELLIGENCE SUPPORT,MEDICAL- LABORATORY TESTING,TESTING LABORATORIES AND SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),1.0,Y,NOT APPLICABLE,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE TAX EXEMPT
3600_3600_36C10B22N00040003_P00002_36C10B21D0004_0,"VETERANS AFFAIRS, DEPARTMENT OF",2455347.23,2022-08-12,2025-04-11 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,25.1: Advisory and assistance services,"ODDBALL, INC.",DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DELIVERY ORDER,MACHINE LEARNING DECISION SUPPORT,MACHINE LEARNING DECISION SUPPORT,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,3.0,Y,NO,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_8000_36C25023F0367_0_NNG15SC82B_0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,15985.0,2023-02-08,2023-04-07 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,"NEW TECH SOLUTIONS, INC.",CALIFORNIA,CALIFORNIA,DELIVERY ORDER,MACHINE LEARNING WORKSTATION FOR ANN ARBOR VA MEDICAL CENTER,MACHINE LEARNING WORKSTATION FOR ANN ARBOR VA MEDICAL CENTER,IT AND TELECOM - HIGH PERFORMANCE COMPUTE (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,8.0,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,t,f,f,f,CORPORATE NOT TAX EXEMPT
3600_3600_36C10B22N00040003_P00001_36C10B21D0004_0,"VETERANS AFFAIRS, DEPARTMENT OF",1152329.53,2022-08-12,2025-04-11 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,25.1: Advisory and assistance services,"ODDBALL, INC.",DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DELIVERY ORDER,MACHINE LEARNING DECISION SUPPORT,MACHINE LEARNING DECISION SUPPORT,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,3.0,Y,NO,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_8000_36C10X21F0062_P00004_NNG15SD26B_0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,6980800.0,2021-07-01,2023-01-13 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,"THUNDERCAT TECHNOLOGY, LLC",VIRGINIA,VIRGINIA,DELIVERY ORDER,MACHINE LEARNING - COVID DEFERRED CARE FUNDING OPTIONAL CLINS,MACHINE LEARNING - COVID DEFERRED CARE,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,"PRESIDENTIAL ISSUED EMERGENCY DECLARATION, OR A MAJOR DISASTER DECLARATION",f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_3600_36C24E23N0017_0_36C24E23D0006_0,"VETERANS AFFAIRS, DEPARTMENT OF",410000.0,2022-12-12,2023-12-11 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,GEORGE WASHINGTON UNIVERSITY (THE),DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DELIVERY ORDER,ARTIFICIAL INTELLIGENCE SUPPORT,ARTIFICIAL INTELLIGENCE SUPPORT,MEDICAL- LABORATORY TESTING,TESTING LABORATORIES AND SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),,Y,NOT APPLICABLE,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE TAX EXEMPT
3600_-NONE-_36C24E23D0006_0_-NONE-_-NONE-,,,2022-12-12,,Department of Veterans Affairs,Department of Veterans Affairs,,GEORGE WASHINGTON UNIVERSITY (THE),DISTRICT OF COLUMBIA,,,ARTIFICIAL INTELLIGENCE SUPPORT,ARTIFICIAL INTELLIGENCE SUPPORT,MEDICAL- LABORATORY TESTING,TESTING LABORATORIES AND SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),1.0,Y,NOT APPLICABLE,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE TAX EXEMPT
