contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
9700_-NONE-_HQ086024C7120_P00001_-NONE-_0,,2989382.78,2024-01-16,2026-01-15 00:00:00,Department of Defense,Missile Defense Agency,,SPECTRAL ENERGIES LLC,OHIO,OHIO,DEFINITIVE CONTRACT,SBIR/STTR PHASE II R&D - MACHINE LEARNING BASED INERTIAL NAVIGATION DEVICE FOR HYPERSONIC FLIGHT AND WEAPON SYSTEMS,SBIR/STTR PHASE II R&D - MACHINE LEARNING BASED INERTIAL NAVIGATION DEVICE FOR HYPERSONIC FLIGHT AND WEAPON SYSTEMS,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,t,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA872622C0002_P00007_-NONE-_0,,999998.92,2022-04-05,2023-04-13 00:00:00,Department of Defense,Department of the Air Force,,INTELLISENSE SYSTEMS INC,CALIFORNIA,CALIFORNIA,DEFINITIVE CONTRACT,ARTIFICIAL INTELLIGENCE FOR TACTICAL / COGNITIVE RADIOS (TAINCOR),TRUSTED AI AT SCALE SBIR 21.2 BAA AWARD - AF212-D003,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,30.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA864924P0910_0_-NONE-_0,,73883.0,2024-05-17,2024-08-19 00:00:00,Department of Defense,Department of the Air Force,,INTELLIGENESIS LLC,MARYLAND,MARYLAND,PURCHASE ORDER,KRAKENAI - A SECURE GENERATIVE ARTIFICIAL INTELLIGENCE PLATFORM FOR SPACE FORCE APPLICATIONS,KRAKENAI - A SECURE GENERATIVE ARTIFICIAL INTELLIGENCE PLATFORM FOR SPACE FORCE APPLICATIONS,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,190.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,t,f,f,f,f,PARTNERSHIP
9700_-NONE-_FA864924P0871_0_-NONE-_0,,109960.0,2024-05-15,2024-08-19 00:00:00,Department of Defense,Department of the Air Force,,LITTLE PLACE LABS INC.,TEXAS,TEXAS,PURCHASE ORDER,"OPEN MODULAR SYSTEM SUPPORTED BY DEPLOYABLE LOW SIZE, WEIGHT, AND POWER ARTIFICIAL INTELLIGENCE/MACHINE LEARNING SOLUTIONS FOR SPACE AND AERONAUTICS EDGE DEVICES","OPEN MODULAR SYSTEM SUPPORTED BY DEPLOYABLE LOW SIZE, WEIGHT, AND POWER ARTIFICIAL INTELLIGENCE/MACHINE LEARNING SOLUTIONS FOR SPACE AND AERONAUTICS EDGE DEVICES",NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,494.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,t,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA864924P0801_0_-NONE-_0,,74919.0,2024-05-17,2024-08-19 00:00:00,Department of Defense,Department of the Air Force,,HAVIK SOLUTIONS LLC,CALIFORNIA,CALIFORNIA,PURCHASE ORDER,ARTIFICIAL INTELLIGENCE POWERED LARGE LANGUAGE MODEL FOR VIRTUAL SCENARIO GENERATION,ARTIFICIAL INTELLIGENCE POWERED LARGE LANGUAGE MODEL FOR VIRTUAL SCENARIO GENERATION,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,999.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA864924P0756_0_-NONE-_0,,74950.0,2024-05-17,2024-08-19 00:00:00,Department of Defense,Department of the Air Force,,CONDUCTORAI CORPORATION,NEW YORK,NEW YORK,PURCHASE ORDER,MACHINE ASSISTED KNOWLEDGE EXCHANGE REPOSITORY (MAKER): STREAMLINING PACAF A5I WORKFLOWS WITH CONDUCTOR ARTIFICIAL INTELLIGENCE,MACHINE ASSISTED KNOWLEDGE EXCHANGE REPOSITORY (MAKER): STREAMLINING PACAF A5I WORKFLOWS WITH CONDUCTOR ARTIFICIAL INTELLIGENCE,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,999.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA864924P0731_0_-NONE-_0,,74974.0,2024-05-15,2024-08-19 00:00:00,Department of Defense,Department of the Air Force,,"ZADEN TECHNOLOGIES, INC",ALABAMA,ALABAMA,PURCHASE ORDER,AN ARCHITECTURE-ARTIFICIAL-INTELLIGENCE-SYSTEMS-CODE PLATFORM FOR AUTOMATING THE VALIDATION AND VERIFICATION OF MODEL BASED SYSTEMS ENGINEERING SYSTEMS,AN ARCHITECTURE-ARTIFICIAL-INTELLIGENCE-SYSTEMS-CODE PLATFORM FOR AUTOMATING THE VALIDATION AND VERIFICATION OF MODEL BASED SYSTEMS ENGINEERING SYSTEMS,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,999.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA864924P0721_P00001_-NONE-_0,,73385.0,2024-05-14,2024-08-12 00:00:00,Department of Defense,Department of the Air Force,,"GRAY MATTERS, INC.",MARYLAND,MARYLAND,PURCHASE ORDER,"THE FUTURE OF LOGISTICS: INTEGRATING BLOCKCHAIN AND ARTIFICIAL INTELLIGENCE (AI) FOR SMART, SECURE SUPPLY CHAIN MANAGEMENT","THE FUTURE OF LOGISTICS: INTEGRATING BLOCKCHAIN AND ARTIFICIAL INTELLIGENCE (AI) FOR SMART, SECURE SUPPLY CHAIN MANAGEMENT",NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,999.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA864924P0004_P00001_-NONE-_0,,1249924.0,2023-10-16,2025-11-17 00:00:00,Department of Defense,Department of the Air Force,,"PENDULUM SYSTEMS, INC.",DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,PURCHASE ORDER,"PROVIDE SMALL UNMANNED AIRCRAFT SYSTEMS GEO-LOCATION AND ASSURED POSITIONING, NAVIGATION AND TIMING IN GLOBAL POSITIONING SYSTEMS-DENIED ENVIRONMENTS USING MACHINE LEARNING",PROVIDE SMALL UNMANNED AIRCRAFT SYSTEM GEO-LOCATION AND ASSURED POSITIONING NAVIGATION TIMING IN GLOBAL POSITIONING SYSTEM-DENIED ENVIRONMENTS USING MACHINE LEARNING,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,207.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_W56KGU24C0023_0_-NONE-_1,,597318.0,2024-05-14,2027-01-13 00:00:00,Department of Defense,Department of the Army,,SYSTEMS & TECHNOLOGY RESEARCH LLC,MASSACHUSETTS,MASSACHUSETTS,DEFINITIVE CONTRACT,CPFF BAA AWARD FOR COLLABORATIVE ARTIFICIAL INTELLIGENCE TASK EXECUTION ENGINE FOR DISTRIBUTED ELECTRONIC WARFARE (CAITEE-DEW),CPFF BAA AWARD FOR COLLABORATIVE ARTIFICIAL INTELLIGENCE TASK EXECUTION ENGINE FOR DISTRIBUTED ELECTRONIC WARFARE (CAITEE-DEW),NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,13.0,N,NO,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_HR001124C0356_P00002_-NONE-_0,,4641086.16,2024-02-07,2028-02-06 00:00:00,Department of Defense,Defense Advanced Research Projects Agency,,LOCKHEED MARTIN CORPORATION,TEXAS,TEXAS,DEFINITIVE CONTRACT,ARTIFICIAL INTELLIGENCE REINFORCEMENTS (AIR),ARTIFICIAL INTELLIGENCE REINFORCEMENTS (AIR),NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,20.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
