contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
7529_-NONE-_75N95024P00331_0_-NONE-_0,,81339.0,2024-09-01,2025-06-15 00:00:00,Department of Health and Human Services,National Institutes of Health,12.1: Civilian personnel benefits,"UNIVERSITY OF MARYLAND, COLLEGE PARK",MARYLAND,MARYLAND,PURCHASE ORDER,DEVELOPMENT OF HARMONIC ANALYSIS AND MACHINE LEARNING,DEVELOPMENT OF HARMONIC ANALYSIS AND MACHINE LEARNING,SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL,TESTING LABORATORIES AND SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO PREFERENCE USED,,SAP NON-COMPETITION (FAR 13),1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,US GOVERNMENT ENTITY
7529_7529_75N98024F00031_0_75N98020D00086_0,NATIONAL INSTITUTES OF HEALTH,391595.6,2024-05-23,2025-05-22 00:00:00,Department of Health and Human Services,National Institutes of Health,25.2: Other services from non-Federal sources,GUIDEHOUSE DIGITAL LLC,VIRGINIA,ILLINOIS,DELIVERY ORDER,"NATIONAL INSTITUTE OF HEALTH (NIH), THE NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (NIAID), DIVISION OF INTRAMURAL RESEARCH (DIR), LABORATORY OF INFECTIOUS DISEASES (LID), VIRAL PATHOGENESIS AND EVOLUTION SECTION MACHINE LEARNING, SPECIALI","NATIONAL INSTITUTE OF HEALTH (NIH), THE NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (NIAID), DIVISION OF INTRAMURAL RESEARCH (DIR), LABORATORY OF INFECTIOUS DISEASES (LID), VIRAL PATHOGENESIS AND EVOLUTION SECTION MACHINE LEARNING, SPECIALI",SUPPORT- PROFESSIONAL: OTHER,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,,N,NO,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7529_8000_75N92024F00112_0_NNG15SC82B_0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,49490.0,2024-05-15,2025-05-14 00:00:00,Department of Health and Human Services,National Institutes of Health,25.7: Operation and maintenance of equipment,"NEW TECH SOLUTIONS, INC.",CALIFORNIA,CALIFORNIA,DELIVERY ORDER,24-010519 NHLBI REQUIRES PURCHASE OF WEIGHTS & BIASES SOFTWARE FOR DIR RESEARCHERS IN ORDER TO ENABLE THEM TO BETTER MANAGE THE PROCESS OF TRAINING THEIR DEEP LEARNING MODELS. WEIGHTS AND BIASES ALLOW THESE LABS TO TRACK DETAILS OF THEIR MACHINE,24-010519 NHLBI REQUIRES PURCHASE OF WEIGHTS & BIASES SOFTWARE FOR DIR RESEARCHERS IN ORDER TO ENABLE THEM TO BETTER MANAGE THE PROCESS OF TRAINING THEIR DEEP LEARNING MODELS. WEIGHTS AND BIASES ALLOW THESE LABS TO TRACK DETAILS OF THEIR MACHINE,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,5.0,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,t,f,f,f,CORPORATE NOT TAX EXEMPT
7529_7529_75N92023F00039_P00003_75N92020A00002_0,NATIONAL INSTITUTES OF HEALTH,185702.59,2023-06-01,2024-05-31 00:00:00,Department of Health and Human Services,National Institutes of Health,25.2: Other services from non-Federal sources,"GAP SOLUTIONS, INC.",VIRGINIA,VIRGINIA,BPA CALL,NIH NHLBI SYSTEMS BIOLOGY CENTER REQUIRES AN ARTIFICIAL INTELLIGENCE SCIENTIST IN ORDER TO CONDUCT CUTTING-EDGE AI RESEARCH AND DEVELOPMENT IN THE FIELD OF IMAGING AND BIOMEDICINE.[23-010092],NIH NHLBI SYSTEMS BIOLOGY CENTER REQUIRES AN ARTIFICIAL INTELLIGENCE SCIENTIST IN ORDER TO CONDUCT CUTTING-EDGE AI RESEARCH AND DEVELOPMENT IN THE FIELD OF IMAGING AND BIOMEDICINE.[23-010092],SUPPORT- PROFESSIONAL: OTHER,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,ONLY ONE SOURCE - OTHER,,1.0,N,NOT APPLICABLE,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7529_-NONE-_75N92024P00156_0_-NONE-_0,,57784.0,2024-06-01,2027-05-31 00:00:00,Department of Health and Human Services,National Institutes of Health,25.2: Other services from non-Federal sources,CATHOLIC UNIVERSITY OF AMERICA (THE),DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,PURCHASE ORDER,ARTIFICIAL INTELLIGENCE ALGORITHM AND COMPUTER SOFTWARE DEVELOPMENT FOR CARDIOVASCULAR COMPUTED TOMOGRAPHY IMAGE QUANTIFICATION AND ANALYSIS,ARTIFICIAL INTELLIGENCE ALGORITHM AND COMPUTER SOFTWARE DEVELOPMENT FOR CARDIOVASCULAR COMPUTED TOMOGRAPHY IMAGE QUANTIFICATION AND ANALYSIS,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,COMPUTER SYSTEMS DESIGN SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT COMPETED,ONLY ONE SOURCE,NO PREFERENCE USED,,ONLY ONE SOURCE-OTHER (FAR 6.302-1 OTHER),1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE TAX EXEMPT
7524_-NONE-_75F40121P00385_P00006_-NONE-_0,,124000.0,2021-08-10,2026-08-09 00:00:00,Department of Health and Human Services,Food and Drug Administration,25.1: Advisory and assistance services;25.2: Other services from non-Federal sources,HK3 LAB S.R.L.,TRENTO,ARKANSAS,PURCHASE ORDER,ARTIFICIAL INTELLIGENCE TECHNICAL EXPERT,ARTIFICIAL INTELLIGENCE TECHNICAL EXPERT,SPECIAL STUDIES/ANALYSIS- CHEMICAL/BIOLOGICAL,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO PREFERENCE USED,,,4.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7529_-NONE-_75N95024P00186_0_-NONE-_0,,65869.0,2024-03-15,2024-08-31 00:00:00,Department of Health and Human Services,National Institutes of Health,12.1: Civilian personnel benefits,"UNIVERSITY OF MARYLAND, COLLEGE PARK",MARYLAND,MARYLAND,PURCHASE ORDER,DEVELOPMENT OF HARMONIC ANALYSIS AND MACHINE LEARNING,DEVELOPMENT OF HARMONIC ANALYSIS AND MACHINE LEARNING,SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL,TESTING LABORATORIES AND SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO PREFERENCE USED,,SAP NON-COMPETITION (FAR 13),1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,US GOVERNMENT ENTITY
7524_8000_75F40124F80063_0_NNG15SD91B_0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,96037.2,2024-03-06,2026-03-06 00:00:00,Department of Health and Human Services,Food and Drug Administration,25.2: Other services from non-Federal sources,PARAGON MICRO INC,ILLINOIS,MARYLAND,DELIVERY ORDER,THIS SOFTWARE DEVELOPMENT PLATFORM IS NEEDED FOR THE DEVELOPMENT OF DASHBOARDS AND USER INTERFACES FOR OFFICE OF FOOD ADDITIVE SAFETY (OFAS) ARTIFICIAL INTELLIGENCE TOOL. THIS TOOL IS DESIGNED FOR ADVANCED DATA ANALYSIS AND RISK-BASED DECISION MAKING,THIS SOFTWARE DEVELOPMENT PLATFORM IS NEEDED FOR THE DEVELOPMENT OF DASHBOARDS AND USER INTERFACES FOR OFFICE OF FOOD ADDITIVE SAFETY (OFAS) ARTIFICIAL INTELLIGENCE TOOL. THIS TOOL IS DESIGNED FOR ADVANCED DATA ANALYSIS AND RISK-BASED DECISION MAKING,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7529_-NONE-_75N91023C00006_P00002_-NONE-_0,,354994.0,2023-02-27,2024-06-26 00:00:00,Department of Health and Human Services,National Institutes of Health,25.2: Other services from non-Federal sources,"COLUMBUS NANOWORKS, INC.",OHIO,OHIO,DEFINITIVE CONTRACT,EO 14042  SBIR TOPIC 425 PHASE I:  POSTURE ANALYSIS THROUGH MACHINE LEARNING (PATHML),EO 14042  SBIR TOPIC 425 PHASE I:  POSTURE ANALYSIS THROUGH MACHINE LEARNING (PATHML),HEALTH R&D SERVICES; HEALTH CARE SERVICES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,21.0,N,NO,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7529_-NONE-_75N91023C00023_P00001_-NONE-_0,,455000.0,2023-08-15,2024-08-14 00:00:00,Department of Health and Human Services,National Institutes of Health,25.2: Other services from non-Federal sources,CARINA MEDICAL LLC,KENTUCKY,KENTUCKY,DEFINITIVE CONTRACT,TOPIC 454 - SOFTWARE TO EVALUATE ARTIFICIAL INTELLIGENCE/MACHINE LEARNING MEDICAL DEVICES IN ONCOLOGY SETTINGS,TOPIC 454 - SOFTWARE TO EVALUATE ARTIFICIAL INTELLIGENCE/MACHINE LEARNING MEDICAL DEVICES IN ONCOLOGY SETTINGS,HEALTH R&D SERVICES; HEALTH CARE SERVICES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,3.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,t,f,f,f,CORPORATE NOT TAX EXEMPT
7529_4730_75N91024F00007_0_GS07F5934R_0,FEDERAL ACQUISITION SERVICE,329650.1,2023-12-15,2024-03-14 00:00:00,Department of Health and Human Services,National Institutes of Health,31.0: Equipment,GOVERNMENT SCIENTIFIC SOURCE INC,VIRGINIA,VIRGINIA,DELIVERY ORDER,"LEICA APERIO GT 450 DIGITAL PATHOLOGY SLIDE SCANNER IN SUPPORT OF NCI/CCR/MOLECULAR IMAGING BRANCH (MIB), ARTIFICIAL INTELLIGENCE RESOURCE (AIR)","LEICA APERIO GT 450 DIGITAL PATHOLOGY SLIDE SCANNER IN SUPPORT OF NCI/CCR/MOLECULAR IMAGING BRANCH (MIB), ARTIFICIAL INTELLIGENCE RESOURCE (AIR)",LABORATORY EQUIPMENT AND SUPPLIES,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,
